country,origin,system,status,url,date_recorded
Russia,23px-Soviet Union.svg,3 T-72B,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/PqJmywns/890.png,2022-02-27
Russia,23px-Soviet Union.svg,3 T-72B,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/1tvs3GFY/470.png,2022-02-27
Russia,23px-Soviet Union.svg,3 T-72B,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/8zz8WcH7/763.png,2022-02-27
Russia,23px-Russia.svg,2 T-72B Obr. 1989,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/rsFyfrR7/h8.png,2022-02-27
Russia,23px-Russia.svg,2 T-72B Obr. 1989,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/NM8vPWBX/669.png,2022-02-27
Russia,23px-Russia.svg,2 T-72B3,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/Xqy5KYn3/55u.png,2022-02-27
Russia,23px-Russia.svg,2 T-72B3,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/zfTsVnsF/579.png ,2022-02-27
Russia,23px-Russia.svg,1 T-72B3M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/Rhx51CZ2/7799.png ,2022-02-27
Russia,23px-Soviet Union.svg,1 T-80BV,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/63bVWQwX/470.png,2022-02-27
Russia,23px-Russia.svg,1 T-80BVM,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/2y474krg/336.png,2022-02-27
Russia,23px-Soviet Union.svg,5 MT-LB,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/0QPGdgX4/6658.png,2022-02-27
Russia,23px-Soviet Union.svg,5 MT-LB,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/XvpJbF2W/k9.png,2022-02-27
Russia,23px-Soviet Union.svg,5 MT-LB,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/P5M1XV5z/58.png,2022-02-27
Russia,23px-Soviet Union.svg,5 MT-LB,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/hjqg1p15/680.png,2022-02-27
Russia,23px-Soviet Union.svg,5 MT-LB,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/R0zbsmLL/6659.png,2022-02-27
Russia,23px-Soviet Union.svg,1 MT-LB with ZU-23 AA gun,destroyed,https://web.archive.org/web/20220227214345/https://postimg.cc/kVDPCNz0,2022-02-27
Russia,23px-Soviet Union.svg,1 MT-LBu,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/pV5ZRVDR/5548.png  ,2022-02-27
Russia,23px-Soviet Union.svg,1 2S1 Gvozdika with ZU-23 AA gun,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/Yq5q4HcW/88kj.png ,2022-02-27
Russia,23px-Soviet Union.svg,1 9P149 Shturm-S ATGM carrier,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/FKPZs7Ws/874.png,2022-02-27
Russia,23px-Russia.svg,2 R-149MA1 unified command and staff vehicle,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/hG5hhQJp/59.png,2022-02-27
Russia,23px-Russia.svg,2 R-149MA1 unified command and staff vehicle,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/kgBKhrFT/884.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/RCtc2sB0/554.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/26qYmmgL/668.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/TYZ72Ps8/77690.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/T1HJcX0f/776.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/QtN7DcKC/559.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/Zn38wp9q/680.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/vBy9TRg0/77699.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/BQzv1YB0/Screenshot-8238.png,2022-02-27
Russia,23px-Soviet Union.svg,11 BMP-2,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/tJM8dQNL/h77.png,2022-02-27
Russia,23px-Soviet Union.svg,2 BMD-2,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/xjLsrGfV/79.png,2022-02-27
Russia,23px-Soviet Union.svg,2 BMD-2,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/rssnsRcT/5799.png,2022-02-27
Russia,23px-Russia.svg,2 BMD-4M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/gjmtWttx/548.png,2022-02-27
Russia,23px-Russia.svg,2 BMD-4M,abandoned,https://web.archive.org/web/20220227214345/https://i.postimg.cc/MZy05BrN/674.png ,2022-02-27
