country,origin,system,status,url,date_recorded
Ukraine,23px-Slovenia.svg,2 M-55S,destroyed,https://web.archive.org/web/20240203121704/https://twitter.com/UAWeapons/status/1682710915811033092,2024-02-03
Ukraine,23px-Slovenia.svg,2 M-55S,damaged,https://web.archive.org/web/20240203121704/https://twitter.com/UAWeapons/status/1680549443043483654,2024-02-03
Ukraine,23px-Soviet Union.svg,2 T-64A,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/dVvPF6kS/2022-04-07-UA-T-64-BV-destroyed.jpg,2024-02-03
Ukraine,23px-Soviet Union.svg,2 T-64A,captured,https://web.archive.org/web/20240203121704/https://i.postimg.cc/kXYMFPXM/39.jpg,2024-02-03
Ukraine,23px-Soviet Union.svg,4 T-64B,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/pX1zHz7L/431.png,2024-02-03
Ukraine,23px-Soviet Union.svg,4 T-64B,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/FK3FZ04Q/427.png,2024-02-03
Ukraine,23px-Soviet Union.svg,4 T-64B,captured,https://web.archive.org/web/20240203121704/https://i.postimg.cc/9fH0rFwJ/2000-t64b-capt-04-03-22.jpg,2024-02-03
Ukraine,23px-Soviet Union.svg,4 T-64B,damaged,https://web.archive.org/web/20240203121704/https://twitter.com/UAWeapons/status/1633907229647618048,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/vZnd6LYT/f321.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/59wN4Ybq/689.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/442p3Kn8/443.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/Njvhbd38/38.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/jSkfDQJC/765.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/C1XTdKjW/n8.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/44zyTqfZ/o9.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/LXSthY18/2022-t64bv-destr-31-03-22.jpg,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://twitter.com/UAWeapons/status/1641178598454226944,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/xCh7ZpMw/5590.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/XvZLPhKf/24.png,2024-02-03
Ukraine,23px-Soviet Union.svg,260 T-64BV,destroyed,https://web.archive.org/web/20240203121704/https://i.postimg.cc/8zC4rW64/321.png,2024-02-03
